N_OPTIONS,RT,correct,current_time,filter_cost,guess,guess_number,guess_number_human,guess_size,max_guess_size,nStartingGuesses,overlap,phase,pid,start_time,total_trials,trial_id,true_set,true_set_size,whose_guess,uniqueid,opts_remaining_prev,opts_remaining_post,all_within,all_independent,all_wn_or_ind
12,4,0,1714507544178,4,C000000000111,1,0,3,6,1,0,TEST,5047908,1714507538619,10,1,C001011000000,3,model,debugLpDTf:debugMerNV,220,84,1,1,1
12,4779,0,1714507548958,4,C000000111000,2,1,3,6,1,0,TEST,5047908,1714507538619,10,1,C001011000000,3,human,debugLpDTf:debugMerNV,84,20,0,1,1
12,2680,0,1714507551643,4,C000111000000,3,2,3,6,1,2,TEST,5047908,1714507538619,10,1,C001011000000,3,human,debugLpDTf:debugMerNV,20,9,0,1,1
12,5130,0,1714507556778,4,C001110000000,4,3,3,6,1,2,TEST,5047908,1714507538619,10,1,C001011000000,3,human,debugLpDTf:debugMerNV,9,4,0,0,0
12,3569,0,1714507560351,4,C010110000000,5,4,3,6,1,1,TEST,5047908,1714507538619,10,1,C001011000000,3,human,debugLpDTf:debugMerNV,4,2,0,0,0
12,4756,0,1714507565110,4,C001101000000,6,5,3,6,1,2,TEST,5047908,1714507538619,10,1,C001011000000,3,human,debugLpDTf:debugMerNV,2,1,0,0,0
12,3312,1,1714507568425,4,C001011000000,7,6,3,6,1,3,TEST,5047908,1714507538619,10,1,C001011000000,3,human,debugLpDTf:debugMerNV,1,1,0,0,0
12,1,0,1714507570588,0,C101100011001,1,0,6,6,4,1,TEST,5047908,1714507538619,10,2,C010000101000,3,model,debugLpDTf:debugMerNV,220,90,1,1,1
12,9,0,1714507570597,0,C100010001111,2,0,6,6,4,1,TEST,5047908,1714507538619,10,2,C010000101000,3,model,debugLpDTf:debugMerNV,90,36,0,0,0
12,15,0,1714507570613,0,C000111010010,3,0,5,6,4,0,TEST,5047908,1714507538619,10,2,C010000101000,3,model,debugLpDTf:debugMerNV,36,5,0,0,0
12,10,1,1714507570625,0,C010000101000,4,0,3,6,4,3,TEST,5047908,1714507538619,10,2,C010000101000,3,model,debugLpDTf:debugMerNV,5,1,0,0,0
12,5,0,1714507828097,0,C100001101101,1,0,6,6,2,2,TEST,5872418,1714507823853,10,1,C100010001000,3,model,debugLpDTf:debugMerNV,220,90,1,1,1
12,9,0,1714507828107,0,C100110000111,2,0,6,6,2,2,TEST,5872418,1714507823853,10,1,C100010001000,3,model,debugLpDTf:debugMerNV,90,36,0,0,0
12,10758,0,1714507838866,0,C100000000000,3,1,1,6,2,1,TEST,5872418,1714507823853,10,1,C100010001000,3,human,debugLpDTf:debugMerNV,36,15,1,0,1
12,5157,0,1714507844027,0,C000000000100,4,2,1,6,2,0,TEST,5872418,1714507823853,10,1,C100010001000,3,human,debugLpDTf:debugMerNV,15,12,1,0,1
12,4064,0,1714507848095,0,C000000000001,5,3,1,6,2,0,TEST,5872418,1714507823853,10,1,C100010001000,3,human,debugLpDTf:debugMerNV,12,9,1,0,1
12,7353,0,1714507855451,0,C000100000010,6,4,2,6,2,0,TEST,5872418,1714507823853,10,1,C100010001000,3,human,debugLpDTf:debugMerNV,9,3,1,0,1
12,5049,0,1714507860503,0,C100011000000,7,5,3,6,2,2,TEST,5872418,1714507823853,10,1,C100010001000,3,human,debugLpDTf:debugMerNV,3,2,0,0,0
12,4621,0,1714507865127,0,C100010100000,8,6,3,6,2,2,TEST,5872418,1714507823853,10,1,C100010001000,3,human,debugLpDTf:debugMerNV,2,1,0,0,0
