,phase,pid,total_trials,trial_id,filter_cost,n_starting_guesses,whose_guess,true_word,guess,guess_number,human_guess_number,time_elapsed_curr,time_elapsed_trial,n_green,n_yellow,current_time,start_time,uniqueid,true_code,prev_exp,age,n_remaining_prev,n_remaining_post
0,TEST,2214474,10,0,None,0,Human,4411,1234,0,0,6.39,6.39,0,2,1714755551969,1714755545579,debugIPJrG:debugQwyS7,4411,0,23,256,24
1,TEST,2214474,10,0,None,0,Human,4411,2244,1,1,13.432,19.822,0,2,1714755565401,1714755545579,debugIPJrG:debugQwyS7,4411,0,23,24,2
2,TEST,2214474,10,0,None,0,Human,4411,2222,2,2,12.472,32.294,0,0,1714755577873,1714755545579,debugIPJrG:debugQwyS7,4411,0,23,2,1
3,TEST,2214474,10,0,None,0,Human,4411,4444,3,3,4.799,37.093,2,0,1714755582672,1714755545579,debugIPJrG:debugQwyS7,4411,0,23,1,1
4,TEST,2214474,10,0,None,0,Human,4411,4411,4,4,10.945,48.038,4,0,1714755593617,1714755545579,debugIPJrG:debugQwyS7,4411,0,23,1,1
5,TEST,2214474,10,1,Simple,2,Model,1422,2222,0,0,0.0,0.0,2,0,1714755600199,1714755600199,debugIPJrG:debugQwyS7,1422,0,23,256,54
6,TEST,2214474,10,1,Simple,2,Model,1422,4444,1,0,0.0,0.0,1,0,1714755600199,1714755600199,debugIPJrG:debugQwyS7,1422,0,23,54,24
7,TEST,2214474,10,1,Simple,2,Human,1422,2243,2,0,19.345,19.345,0,3,1714755619544,1714755600199,debugIPJrG:debugQwyS7,1422,0,23,24,2
8,TEST,2214474,10,1,Simple,2,Human,1422,4422,3,1,7.153,26.498,3,0,1714755626697,1714755600199,debugIPJrG:debugQwyS7,1422,0,23,2,2
9,TEST,2214474,10,1,Simple,2,Human,1422,1422,4,2,6.456,32.954,4,0,1714755633153,1714755600199,debugIPJrG:debugQwyS7,1422,0,23,2,1
10,TEST,2214474,10,2,None,0,Human,4223,4321,0,0,5.045,5.045,2,1,1714755643840,1714755638795,debugIPJrG:debugQwyS7,4223,0,23,256,24
11,TEST,2214474,10,2,None,0,Human,4223,3421,1,1,13.392,18.437,1,2,1714755657232,1714755638795,debugIPJrG:debugQwyS7,4223,0,23,24,12
12,TEST,2214474,10,2,None,0,Human,4223,4331,2,2,19.48,37.917,1,1,1714755676712,1714755638795,debugIPJrG:debugQwyS7,4223,0,23,12,5
13,TEST,2214474,10,2,None,0,Human,4223,3214,3,3,20.256,58.173,1,2,1714755696968,1714755638795,debugIPJrG:debugQwyS7,4223,0,23,5,3
14,TEST,2214474,10,2,None,0,Human,4223,2244,4,4,11.289,69.462,1,2,1714755708257,1714755638795,debugIPJrG:debugQwyS7,4223,0,23,3,2
15,TEST,2214474,10,2,None,0,Human,4223,1342,5,5,24.6,94.062,0,3,1714755732857,1714755638795,debugIPJrG:debugQwyS7,4223,0,23,2,2
16,TEST,2214474,10,2,None,0,Human,4223,2134,6,6,5.776,99.838,0,3,1714755738633,1714755638795,debugIPJrG:debugQwyS7,4223,0,23,2,1
17,TEST,2214474,10,2,None,0,Human,4223,4312,7,7,12.2,112.038,1,2,1714755750833,1714755638795,debugIPJrG:debugQwyS7,4223,0,23,1,1
18,TEST,2214474,10,2,None,0,Human,4223,1324,8,8,39.92,151.958,1,2,1714755790753,1714755638795,debugIPJrG:debugQwyS7,4223,0,23,1,1
19,TEST,2214474,10,2,None,0,Human,4223,4343,9,9,16.104,168.062,2,0,1714755806857,1714755638795,debugIPJrG:debugQwyS7,4223,0,23,1,1
20,TEST,2214474,10,2,None,0,Human,4223,4321,10,10,24.751,192.813,2,1,1714755831608,1714755638795,debugIPJrG:debugQwyS7,4223,0,23,1,1
21,TEST,2214474,10,2,None,0,Human,4223,2442,11,11,3.904,196.717,0,3,1714755835512,1714755638795,debugIPJrG:debugQwyS7,4223,0,23,1,1
22,TEST,2214474,10,2,None,0,Human,4223,1313,12,12,4.28,200.997,1,0,1714755839792,1714755638795,debugIPJrG:debugQwyS7,4223,0,23,1,1
23,TEST,2214474,10,2,None,0,Human,4223,4323,13,13,7.856,208.853,3,0,1714755847648,1714755638795,debugIPJrG:debugQwyS7,4223,0,23,1,1
24,TEST,2214474,10,2,None,0,Human,4223,2323,14,14,22.488,231.341,2,1,1714755870136,1714755638795,debugIPJrG:debugQwyS7,4223,0,23,1,1
25,TEST,2214474,10,3,Max-EIG,2,Model,4412,4342,0,0,0.001,0.001,2,1,1714755878311,1714755878310,debugIPJrG:debugQwyS7,4412,0,23,256,20
26,TEST,2214474,10,3,Max-EIG,2,Model,4412,4321,1,0,0.0,0.001,1,2,1714755878311,1714755878310,debugIPJrG:debugQwyS7,4412,0,23,20,5
27,TEST,2214474,10,3,Max-EIG,2,Human,4412,4432,2,0,24.506,24.507,3,0,1714755902817,1714755878310,debugIPJrG:debugQwyS7,4412,0,23,5,2
28,TEST,2214474,10,3,Max-EIG,2,Human,4412,4242,3,1,19.152,43.659,2,1,1714755921969,1714755878310,debugIPJrG:debugQwyS7,4412,0,23,2,1
29,TEST,2214474,10,3,Max-EIG,2,Human,4412,4412,4,2,8.2,51.859,4,0,1714755930169,1714755878310,debugIPJrG:debugQwyS7,4412,0,23,1,1
30,TEST,2214474,10,4,Simple,2,Model,1124,1111,0,0,0.001,0.001,2,0,1714756260783,1714756260782,debugIPJrG:debugQwyS7,1124,0,23,256,54
31,TEST,2214474,10,4,Simple,2,Model,1124,2444,1,0,0.0,0.001,1,1,1714756260783,1714756260782,debugIPJrG:debugQwyS7,1124,0,23,54,9
32,TEST,2214474,10,4,Simple,2,Human,1124,1143,2,0,10.722,10.723,2,1,1714756271505,1714756260782,debugIPJrG:debugQwyS7,1124,0,23,9,3
33,TEST,2214474,10,4,Simple,2,Human,1124,1142,3,1,11.24,21.963,2,2,1714756282745,1714756260782,debugIPJrG:debugQwyS7,1124,0,23,3,2
34,TEST,2214474,10,4,Simple,2,Human,1124,1141,4,2,6.977,28.94,2,1,1714756289722,1714756260782,debugIPJrG:debugQwyS7,1124,0,23,2,1
35,TEST,2214474,10,4,Simple,2,Human,1124,1124,5,3,16.864,45.804,4,0,1714756306586,1714756260782,debugIPJrG:debugQwyS7,1124,0,23,1,1
36,TEST,2214474,10,5,None,0,Human,1412,2341,0,0,6.643,6.643,0,3,1714756316682,1714756310039,debugIPJrG:debugQwyS7,1412,0,23,256,48
37,TEST,2214474,10,5,None,0,Human,1412,3214,1,1,3.607,10.25,1,2,1714756320289,1714756310039,debugIPJrG:debugQwyS7,1412,0,23,48,24
38,TEST,2214474,10,5,None,0,Human,1412,1234,2,2,3.872,14.122,1,2,1714756324161,1714756310039,debugIPJrG:debugQwyS7,1412,0,23,24,6
39,TEST,2214474,10,5,None,0,Human,1412,4321,3,3,4.6,18.722,0,3,1714756328761,1714756310039,debugIPJrG:debugQwyS7,1412,0,23,6,4
40,TEST,2214474,10,5,None,0,Human,1412,2212,4,4,38.232,56.954,2,0,1714756366993,1714756310039,debugIPJrG:debugQwyS7,1412,0,23,4,1
41,TEST,2214474,10,5,None,0,Human,1412,2233,5,5,5.935,62.889,0,1,1714756372928,1714756310039,debugIPJrG:debugQwyS7,1412,0,23,1,1
42,TEST,2214474,10,5,None,0,Human,1412,3412,6,6,11.393,74.282,3,0,1714756384321,1714756310039,debugIPJrG:debugQwyS7,1412,0,23,1,1
43,TEST,2214474,10,5,None,0,Human,1412,2412,7,7,15.504,89.786,3,0,1714756399825,1714756310039,debugIPJrG:debugQwyS7,1412,0,23,1,1
44,TEST,2214474,10,5,None,0,Human,1412,1412,8,8,6.672,96.458,4,0,1714756406497,1714756310039,debugIPJrG:debugQwyS7,1412,0,23,1,1
45,TEST,2214474,10,6,Simple,2,Model,1222,3333,0,0,0.001,0.001,0,0,1714756410320,1714756410319,debugIPJrG:debugQwyS7,1222,0,23,256,81
46,TEST,2214474,10,6,Simple,2,Model,1222,4444,1,0,0.0,0.001,0,0,1714756410320,1714756410319,debugIPJrG:debugQwyS7,1222,0,23,81,16
47,TEST,2214474,10,6,Simple,2,Human,1222,2222,2,0,6.49,6.491,3,0,1714756416810,1714756410319,debugIPJrG:debugQwyS7,1222,0,23,16,4
48,TEST,2214474,10,6,Simple,2,Human,1222,2221,3,1,4.263,10.754,2,2,1714756421073,1714756410319,debugIPJrG:debugQwyS7,1222,0,23,4,3
49,TEST,2214474,10,6,Simple,2,Human,1222,1222,4,2,18.568,29.322,4,0,1714756439641,1714756410319,debugIPJrG:debugQwyS7,1222,0,23,3,1
50,TEST,2214474,10,7,Simple,2,Model,4324,3333,0,0,0.0,0.0,1,0,1714756443886,1714756443886,debugIPJrG:debugQwyS7,4324,0,23,256,108
51,TEST,2214474,10,7,Simple,2,Model,4324,2222,1,0,0.001,0.001,1,0,1714756443887,1714756443886,debugIPJrG:debugQwyS7,4324,0,23,108,48
52,TEST,2214474,10,7,Simple,2,Human,4324,3214,2,0,14.562,14.563,1,2,1714756458449,1714756443886,debugIPJrG:debugQwyS7,4324,0,23,48,10
53,TEST,2214474,10,7,Simple,2,Human,4324,2341,3,1,11.968,26.531,1,2,1714756470417,1714756443886,debugIPJrG:debugQwyS7,4324,0,23,10,8
54,TEST,2214474,10,7,Simple,2,Human,4324,2243,4,2,19.616,46.147,0,3,1714756490033,1714756443886,debugIPJrG:debugQwyS7,4324,0,23,8,1
55,TEST,2214474,10,7,Simple,2,Human,4324,3234,5,3,9.929,56.076,1,2,1714756499962,1714756443886,debugIPJrG:debugQwyS7,4324,0,23,1,1
56,TEST,2214474,10,7,Simple,2,Human,4324,3122,6,4,22.656,78.732,1,1,1714756522618,1714756443886,debugIPJrG:debugQwyS7,4324,0,23,1,1
57,TEST,2214474,10,7,Simple,2,Human,4324,3142,7,5,3.448,82.18,0,3,1714756526066,1714756443886,debugIPJrG:debugQwyS7,4324,0,23,1,1
58,TEST,2214474,10,7,Simple,2,Human,4324,1324,8,6,2.864,85.044,3,0,1714756528930,1714756443886,debugIPJrG:debugQwyS7,4324,0,23,1,1
59,TEST,2214474,10,7,Simple,2,Human,4324,1323,9,7,17.055,102.099,2,0,1714756545985,1714756443886,debugIPJrG:debugQwyS7,4324,0,23,1,1
60,TEST,2214474,10,7,Simple,2,Human,4324,1321,10,8,5.289,107.388,2,0,1714756551274,1714756443886,debugIPJrG:debugQwyS7,4324,0,23,1,1
61,TEST,2214474,10,7,Simple,2,Human,4324,1334,11,9,16.495,123.883,2,0,1714756567769,1714756443886,debugIPJrG:debugQwyS7,4324,0,23,1,1
62,TEST,2214474,10,7,Simple,2,Human,4324,1321,12,10,11.808,135.691,2,0,1714756579577,1714756443886,debugIPJrG:debugQwyS7,4324,0,23,1,1
63,TEST,2214474,10,7,Simple,2,Human,4324,2324,13,11,29.544,165.235,3,0,1714756609121,1714756443886,debugIPJrG:debugQwyS7,4324,0,23,1,1
64,TEST,2214474,10,7,Simple,2,Human,4324,3324,14,12,11.992,177.227,3,0,1714756621113,1714756443886,debugIPJrG:debugQwyS7,4324,0,23,1,1
65,TEST,2214474,10,7,Simple,2,Human,4324,4324,15,13,11.648,188.875,4,0,1714756632761,1714756443886,debugIPJrG:debugQwyS7,4324,0,23,1,1
66,TEST,2214474,10,8,Max-EIG,2,Model,2312,1143,0,0,0.001,0.001,0,2,1714756640175,1714756640174,debugIPJrG:debugQwyS7,2312,0,23,256,42
67,TEST,2214474,10,8,Max-EIG,2,Model,2312,1221,1,0,0.0,0.001,0,3,1714756640175,1714756640174,debugIPJrG:debugQwyS7,2312,0,23,42,2
68,TEST,2214474,10,8,Max-EIG,2,Human,2312,2311,2,0,27.602,27.603,3,0,1714756667777,1714756640174,debugIPJrG:debugQwyS7,2312,0,23,2,1
69,TEST,2214474,10,8,Max-EIG,2,Human,2312,2314,3,1,10.8,38.403,3,0,1714756678577,1714756640174,debugIPJrG:debugQwyS7,2312,0,23,1,1
70,TEST,2214474,10,8,Max-EIG,2,Human,2312,2312,4,2,10.72,49.123,4,0,1714756689297,1714756640174,debugIPJrG:debugQwyS7,2312,0,23,1,1
71,TEST,2214474,10,9,Max-EIG,3,Model,3431,2312,0,0,0.0,0.0,0,2,1714756692350,1714756692350,debugIPJrG:debugQwyS7,3431,0,23,256,42
72,TEST,2214474,10,9,Max-EIG,3,Model,3431,4241,1,0,0.001,0.001,1,1,1714756692351,1714756692350,debugIPJrG:debugQwyS7,3431,0,23,42,7
73,TEST,2214474,10,9,Max-EIG,3,Model,3431,1431,2,0,0.0,0.001,3,0,1714756692351,1714756692350,debugIPJrG:debugQwyS7,3431,0,23,7,1
74,TEST,2214474,10,9,Max-EIG,3,Human,3431,1421,3,0,33.522,33.523,2,0,1714756725873,1714756692350,debugIPJrG:debugQwyS7,3431,0,23,1,1
75,TEST,2214474,10,9,Max-EIG,3,Human,3431,1432,4,1,9.504,43.027,2,1,1714756735377,1714756692350,debugIPJrG:debugQwyS7,3431,0,23,1,1
76,TEST,2214474,10,9,Max-EIG,3,Human,3431,1344,5,2,5.68,48.707,0,3,1714756741057,1714756692350,debugIPJrG:debugQwyS7,3431,0,23,1,1
77,TEST,2214474,10,9,Max-EIG,3,Human,3431,1342,6,3,3.761,52.468,0,3,1714756744818,1714756692350,debugIPJrG:debugQwyS7,3431,0,23,1,1
78,TEST,2214474,10,9,Max-EIG,3,Human,3431,3431,7,4,27.408,79.876,4,0,1714756772226,1714756692350,debugIPJrG:debugQwyS7,3431,0,23,1,1
79,TEST,1517314,10,0,Max-EIG,2,Model,4422,3324,0,0,0.001,0.001,1,1,1714755556985,1714755556984,debug6jSBD:debugfAo4W,4422,0,25,256,46
80,TEST,1517314,10,0,Max-EIG,2,Model,4422,2442,1,0,0.0,0.001,2,2,1714755556985,1714755556984,debug6jSBD:debugfAo4W,4422,0,25,46,2
81,TEST,1517314,10,0,Max-EIG,2,Human,4422,2244,2,0,42.025,42.026,0,4,1714755599010,1714755556984,debug6jSBD:debugfAo4W,4422,0,25,2,1
82,TEST,1517314,10,0,Max-EIG,2,Human,4422,4242,3,1,19.652,61.678,2,2,1714755618662,1714755556984,debug6jSBD:debugfAo4W,4422,0,25,1,1
83,TEST,1517314,10,0,Max-EIG,2,Human,4422,4422,4,2,38.98,100.658,4,0,1714755657642,1714755556984,debug6jSBD:debugfAo4W,4422,0,25,1,1
84,TEST,1517314,10,1,None,0,Human,1313,4231,0,0,8.698,8.698,0,2,1714755669906,1714755661208,debug6jSBD:debugfAo4W,1313,0,25,256,24
85,TEST,1517314,10,1,None,0,Human,1313,2112,1,1,6.916,15.614,1,1,1714755676822,1714755661208,debug6jSBD:debugfAo4W,1313,0,25,24,6
86,TEST,1517314,10,1,None,0,Human,1313,2332,2,2,54.595,70.209,1,1,1714755731417,1714755661208,debug6jSBD:debugfAo4W,1313,0,25,6,2
87,TEST,1517314,10,1,None,0,Human,1313,2242,3,3,51.82,122.029,0,0,1714755783237,1714755661208,debug6jSBD:debugfAo4W,1313,0,25,2,1
