phase,pid,N_OPTIONS,total_trials,true_set_size,max_guess_size,trial_id,exp_phase,bin_stim,true_set,guess,bin_guess,success,guess_size,overlap,correct,guess_number,guess_number_p1,guess_number_p2,which_guess,RT,current_time,start_time,uniqueid,kl,opts_remaining_prev,opts_remaining_post,all_within,all_independent,all_wn_or_ind
TEST,8649068,12,10,3,6,1,forced,011000001000,C110000010000,C010110010110,001011001011,0,6,2,0,1,1,0,Hard,7050,1724957354407,1724957320345,debugnIlzk:debugA6niM,1.2895049210433136,220,90,1,1,1
TEST,8649068,12,10,3,6,1,forced,011000001000,C110000010000,C001110000000,000111000000,0,3,0,0,2,2,0,Easy,4038,1724957359247,1724957320345,debugnIlzk:debugA6niM,1.5849601288872885,90,30,0,0,0
TEST,8649068,12,10,3,6,1,forced,011000001000,C110000010000,C000000001110,000000000111,0,3,0,0,3,3,0,Easy,15307,1724957375357,1724957320345,debugnIlzk:debugA6niM,2.906882523564268,30,4,0,0,0
TEST,8649068,12,10,3,6,1,forced,011000001000,C110000010000,C010011000100,101001100010,0,5,1,0,4,4,0,Hard,18179,1724957394338,1724957320345,debugnIlzk:debugA6niM,0.9999989241064713,4,2,0,0,0
TEST,8649068,12,10,3,6,1,forced,011000001000,C110000010000,C100011001010,010001100101,0,5,1,0,5,5,0,Hard,3537,1724957398677,1724957320345,debugnIlzk:debugA6niM,0.9999987929526883,2,1,0,0,0
TEST,8649068,12,10,3,6,1,guess,011000001000,C110000010000,C010000010100,001000001010,0,3,2,0,6,6,1,NA,48974,1724957448452,1724957320345,debugnIlzk:debugA6niM,8.525006633363956e-07,1,1,1,0,1
TEST,8649068,12,10,3,6,1,guess,011000001000,C110000010000,C101100000000,010110000000,0,3,1,0,7,6,2,NA,4422,1724957453675,1724957320345,debugnIlzk:debugA6niM,2.6230799365631395e-07,1,1,0,0,0
TEST,8649068,12,10,3,6,1,guess,011000001000,C110000010000,C000000001110,000000000111,0,3,0,0,8,6,3,NA,4821,1724957459296,1724957320345,debugnIlzk:debugA6niM,6.557700440686752e-08,1,1,1,0,1
TEST,8649068,12,10,3,6,1,guess,011000001000,C110000010000,C000100010000,100010001000,0,3,1,0,9,6,4,NA,5453,1724957465550,1724957320345,debugnIlzk:debugA6niM,8.969587338684987e-15,1,1,0,0,0
TEST,8649068,12,10,3,6,1,guess,011000001000,C110000010000,C100000100010,010000010001,0,3,1,0,10,6,5,NA,7440,1724957473790,1724957320345,debugnIlzk:debugA6niM,1.2173011551834852e-14,1,1,0,0,0
TEST,8649068,12,10,3,6,1,guess,011000001000,C110000010000,C001010100000,000101010000,0,3,0,0,11,6,6,NA,15811,1724957490402,1724957320345,debugnIlzk:debugA6niM,6.086505775917023e-15,1,1,0,0,0
TEST,8649068,12,10,3,6,1,guess,011000001000,C110000010000,C000001110000,000000111000,0,3,1,0,12,6,7,NA,4375,1724957495577,1724957320345,debugnIlzk:debugA6niM,-5.206057831132282e-28,1,1,0,0,0
TEST,8649068,12,10,3,6,1,guess,011000001000,C110000010000,C110000000000,111000000000,0,3,2,0,13,6,8,NA,3487,1724957499865,1724957320345,debugnIlzk:debugA6niM,3.203424213149573e-15,1,1,0,0,0
TEST,8649068,12,10,3,6,1,guess,011000001000,C110000010000,C000001000010,100000100001,0,3,0,0,14,6,9,NA,4478,1724957505143,1724957320345,debugnIlzk:debugA6niM,-1.0412116135542673e-28,1,1,0,0,0
TEST,8649068,12,10,3,6,1,guess,011000001000,C110000010000,C000101001000,000010100100,0,3,0,1,15,6,10,NA,3530,1724957509474,1724957320345,debugnIlzk:debugA6niM,-9.465560553473257e-36,1,1,0,0,0
